Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
40;27851;"Marine Policy";journal;"0308597X";1,295;Q1;86;397;1060;22562;3719;1035;3,47;56,83;United Kingdom;Western Europe;"Elsevier Ltd.";"1977-2020";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
41;130158;"British Journal of Politics and International Relations";journal;"13691481";1,278;Q1;37;61;158;3217;449;156;3,17;52,74;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2020";"Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)"
42;25720;"Forest Ecology and Management";journal;"03781127";1,249;Q1;166;735;1842;52520;6476;1815;3,36;71,46;Netherlands;Western Europe;"Elsevier";"1909, 1976, 1978-2020";"Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
43;21100934655;"International Journal of Transportation Science and Technology";journal;"20460430, 20460449";1,240;Q1;13;36;82;1149;308;77;4,04;31,92;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Transportation (Q1)"
44;21004;"Environmental Impact Assessment Review";journal;"01959255";1,234;Q1;87;74;255;5069;1186;254;4,53;68,50;United States;Northern America;"Elsevier Inc.";"1980-1983, 1985-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
45;23374;"Journal of Environmental Policy and Planning";journal;"15227200, 1523908X";1,223;Q1;46;59;139;3687;472;130;3,03;62,49;United Kingdom;Western Europe;"Routledge";"1999-2020";"Management, Monitoring, Policy and Law (Q1)"
46;21100868097;"Water Security";journal;"24683124";1,221;Q1;7;19;21;1257;101;20;5,05;66,16;Netherlands;Western Europe;"Elsevier BV";"2017-2020";"Management, Monitoring, Policy and Law (Q1); Oceanography (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
47;20532;"Journal of Air Transport Management";journal;"09696997";1,210;Q1;67;88;389;4313;1390;383;3,64;49,01;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-1995, 1997-2020";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)"
48;110031;"Resources Policy";journal;"03014207";1,204;Q1;64;261;416;14549;1946;393;4,54;55,74;United Kingdom;Western Europe;"Elsevier Ltd.";"1974-2020";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
49;21100776051;"Conservation Physiology";journal;"20511434";1,189;Q1;31;8;138;524;406;131;2,36;65,50;United States;Northern America;"Oxford University Press";"2013-2019";"Ecological Modeling (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Physiology (Q2)"
