Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
271;21100449126;"Global Environment";journal;"19733739, 20537352";0,174;Q4;4;19;59;518;17;53;0,31;27,26;United Kingdom;Western Europe;"White Horse Press";"2014-2020";"History (Q2); Global and Planetary Change (Q4); Management, Monitoring, Policy and Law (Q4)"
272;21100807100;"25th AIAA/AHS Adaptive Structures Conference, 2017";conference and proceedings;"-";0,173;-;5;0;32;0;29;31;0,94;0,00;United States;Northern America;"";"";"Energy Engineering and Power Technology; Management, Monitoring, Policy and Law; Renewable Energy, Sustainability and the Environment; Waste Management and Disposal"
273;28336;"Ocean Development and International Law";journal;"00908320, 15210642";0,172;Q4;30;21;60;78;21;54;0,36;3,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2020";"Development (Q3); Law (Q3); Political Science and International Relations (Q3); Management, Monitoring, Policy and Law (Q4)"
274;21100268407;"Revista de Gestao Social e Ambiental";journal;"1981982X";0,172;Q4;3;7;64;305;13;58;0,28;43,57;Brazil;Latin America;"Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao";"2013-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4)"
275;21100786315;"Australasian Journal of Regional Studies";journal;"10307923";0,170;Q4;4;6;38;264;19;36;0,38;44,00;Australia;Pacific Region;"Australia and New Zealand Regional Science Association International Inc. (ANZRSAI)";"2016-2019";"Economics, Econometrics and Finance (miscellaneous) (Q3); Geography, Planning and Development (Q3); Urban Studies (Q3); Management, Monitoring, Policy and Law (Q4)"
276;23275;"International Journal of Sustainable Development";journal;"09601406, 17415268";0,170;Q4;26;10;46;656;16;46;0,20;65,60;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2001-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4)"
277;21100845376;"Veredas do Direito";journal;"18063845, 21798699";0,170;Q4;2;40;90;1417;13;85;0,15;35,43;Brazil;Latin America;"Editora Dom Helder";"2017-2019";"Law (Q3); Management, Monitoring, Policy and Law (Q4)"
278;20500195092;"International Journal of Sustainable Society";journal;"17562546, 17562538";0,168;Q4;13;20;57;919;26;54;0,50;45,95;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2008-2020";"Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3); Management, Monitoring, Policy and Law (Q4)"
279;21100275419;"Rivista di Studi sulla Sostenibilita";journal;"22397221, 22391959";0,168;Q4;10;5;77;179;132;73;1,37;35,80;Italy;Western Europe;"FrancoAngeli Edizioni";"2011-2019";"Development (Q3); Law (Q3); Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4); Strategy and Management (Q4)"
280;57806;"Socijalna Ekologija";journal;"13300113";0,167;Q4;8;9;52;414;13;49;0,07;46,00;Croatia;Eastern Europe;"Hrvatsko Sociolosko Drustvo/Croatian Sociological Association";"1994-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4)"
281;144784;"International Journal of Water";journal;"17415322, 14656620";0,165;Q4;14;17;68;507;34;68;0,29;29,82;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2002, 2004-2005, 2007-2019";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Water Science and Technology (Q4)"
282;21100456639;"Journal of Integrated Coastal Zone Management";journal;"16468872";0,165;Q4;6;12;43;449;17;43;0,25;37,42;Portugal;Western Europe;"APRH (Associacao Portuguesa dos Recursos Hidricos)";"2015-2019";"Aquatic Science (Q4); Management, Monitoring, Policy and Law (Q4); Oceanography (Q4); Water Science and Technology (Q4)"
283;21100872806;"Environmental and Socio-Economic Studies";journal;"23540079";0,164;Q4;2;25;25;1062;13;25;0,52;42,48;Germany;Western Europe;"De Gruyter Open Ltd.";"2018-2020";"Urban Studies (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4); Pollution (Q4)"
284;17700156532;"Journal of Sustainability Science and Management";journal;"26727226, 18238556";0,163;Q4;12;88;161;3401;124;158;0,63;38,65;Malaysia;Asiatic Region;"Universiti Malaysia Terengganu";"2009-2020";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)"
285;5100155034;"Landschap";journal;"01696300";0,161;Q4;5;33;19;478;4;14;0,29;14,48;Netherlands;Western Europe;"Werkgemeenschap Landschapsecologisch Onderzoek";"2005-2014, 2018-2019";"Ecology (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
286;21100935803;"Transactions on Transport Sciences";journal;"18029876";0,159;Q4;1;7;28;131;2;24;0,08;18,71;Czech Republic;Eastern Europe;"Palacky University in Olomouc";"2017-2019";"Automotive Engineering (Q3); Applied Psychology (Q4); Civil and Structural Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Transportation (Q4)"
287;21100298656;"RSC Green Chemistry";book series;"17577047, 17577039";0,156;Q4;13;46;247;3780;94;12;3,25;82,17;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2020";"Biochemistry (Q4); Environmental Chemistry (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)"
288;17300154814;"Worldviews: Environment, Culture, Religion";journal;"13635247, 15685357";0,154;Q4;13;13;50;620;8;48;0,21;47,69;Netherlands;Western Europe;"Brill Academic Publishers";"1997-2019";"Cultural Studies (Q2); Philosophy (Q2); Religious Studies (Q2); Ecology (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
289;15183;"Duke Environmental Law and Policy Forum";journal;"23289686, 10643958";0,153;Q4;18;7;27;1010;4;26;0,12;144,29;United States;Northern America;"Duke University School of Law";"1996-2000, 2002-2019";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
290;21100862624;"Journal of Agro-Environment Science";journal;"16722043";0,153;Q4;5;252;340;9345;201;340;0,59;37,08;China;Asiatic Region;"Editorial Board of Journal of Agro-Environment Science";"2018-2020";"Agronomy and Crop Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Environmental Chemistry (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4); Soil Science (Q4)"
291;6400153114;"Environmental Claims Journal";journal;"1547657X, 10406026";0,151;Q4;8;26;72;750;21;70;0,15;28,85;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2020";"Management, Monitoring, Policy and Law (Q4)"
292;21100778885;"Environmental Research, Engineering and Management";journal;"20292139, 13921649";0,149;Q4;3;28;89;804;26;77;0,42;28,71;Lithuania;Eastern Europe;"Kaunas University of Technology";"2015-2019";"Environmental Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4); Renewable Energy, Sustainability and the Environment (Q4); Waste Management and Disposal (Q4)"
293;15513;"Biotechnology Law Report";journal;"0730031X, 15578704";0,144;Q4;8;47;119;468;8;116;0,08;9,96;United States;Northern America;"Mary Ann Liebert Inc.";"2000-2020";"Biotechnology (Q4); Management, Monitoring, Policy and Law (Q4)"
294;21100779205;"Proceedings of 2016 7th International Conference on Mechanical and Aerospace Engineering, ICMAE 2016";conference and proceedings;"-";0,143;-;6;0;119;0;65;118;0,00;0,00;United States;Northern America;"";"";"Business and International Management; Management, Monitoring, Policy and Law; Management of Technology and Innovation; Strategy and Management"
295;21100817602;"2017 18th International Conference on Thermal, Mechanical and Multi-Physics Simulation and Experiments in Microelectronics and Microsystems, EuroSimE 2017";conference and proceedings;"-";0,142;-;5;0;92;0;39;91;0,43;0,00;United States;Northern America;"";"";"Instrumentation; Management, Monitoring, Policy and Law; Signal Processing; Urban Studies"
296;21100842861;"International Journal of Agricultural Management";journal;"20473710";0,139;Q4;3;6;52;194;18;50;0,36;32,33;United Kingdom;Western Europe;"Institute of Agricultural Management";"2017-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
297;21100457025;"Proceedings of 2015 International Conference on Information and Communication Technology and Systems, ICTS 2015";conference and proceedings;"-";0,135;-;7;0;44;0;38;42;0,00;0,00;United States;Northern America;"";"";"Energy Engineering and Power Technology; Human-Computer Interaction; Management, Monitoring, Policy and Law; Renewable Energy, Sustainability and the Environment"
298;21100861870;"Asia-Pacific Journal of Innovation in Hospitality and Tourism";journal;"22891471";0,134;Q4;1;4;29;176;7;28;0,25;44,00;Malaysia;Asiatic Region;"Taylor's University";"2017-2019";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4); Tourism, Leisure and Hospitality Management (Q4)"
299;21362;"Archiv fur Lebensmittelhygiene";journal;"0003925X";0,133;Q4;15;14;44;529;12;43;0,24;37,79;Germany;Western Europe;"Verlag M. und H. Schaper GmbH";"1959-1961, 1973-1989, 1996-2019";"Food Science (Q4); Health, Toxicology and Mutagenesis (Q4); Management, Monitoring, Policy and Law (Q4); Microbiology (Q4)"
300;21100199515;"Biopesticides International";journal;"0973483X";0,130;Q4;5;19;46;737;10;46;0,32;38,79;India;Asiatic Region;"Koul Research Foundation";"2011-2019";"Agronomy and Crop Science (Q4); Management, Monitoring, Policy and Law (Q4); Plant Science (Q4)"
301;21100830171;"EARSeL eProceedings";journal;"17293782";0,130;Q4;2;0;7;0;2;7;0,29;0,00;France;Western Europe;"European Association of Remote Sensing Laboratories";"2017-2018";"Forestry (Q4); Instrumentation (Q4); Management, Monitoring, Policy and Law (Q4)"
302;23945;"Gefahrstoffe Reinhaltung der Luft";journal;"09498036";0,130;Q4;19;0;185;0;28;161;0,15;0,00;Germany;Western Europe;"Springer-VDI Verlag GmbH und Co. KG";"1996-2017";"Health, Toxicology and Mutagenesis (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)"
303;21100838736;"World Agriculture";journal;"20567979, 20437234";0,130;Q4;2;4;25;81;5;9;0,56;20,25;United Kingdom;Western Europe;"Script Media Group Ltd";"2017-2019";"Agronomy and Crop Science (Q4); Aquatic Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Forestry (Q4); Global and Planetary Change (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
304;19700177700;"European Energy and Environmental Law Review";journal;"18793886, 25890387";0,128;Q4;13;8;43;0;22;41;0,60;0,00;Netherlands;Western Europe;"Kluwer Law International";"2008-2019";"Law (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
305;21100470122;"2016 IEEE 20th Workshop on Signal and Power Integrity, SPI 2016 - Proceedings";conference and proceedings;"-";0,126;-;6;0;62;0;30;60;0,00;0,00;United States;Northern America;"";"";"Civil and Structural Engineering; Computer Networks and Communications; Energy Engineering and Power Technology; Management, Monitoring, Policy and Law; Renewable Energy, Sustainability and the Environment; Safety, Risk, Reliability and Quality"
306;21100886374;"Alam Cipta";journal;"18237231, 22893687";0,126;Q4;2;30;16;906;5;14;0,36;30,20;Malaysia;Asiatic Region;"Universiti Putra Malaysia";"2018-2019";"Urban Studies (Q3); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
307;21100782829;"eChallenges e-2015 Conference Proceedings";conference and proceedings;"-";0,125;-;1;0;1;0;0;1;0,00;0,00;United States;Northern America;"";"";"Management, Monitoring, Policy and Law; Waste Management and Disposal"
308;8500153124;"Environmental and Planning Law Journal";journal;"0813300X";0,124;Q4;17;43;103;0;20;94;0,21;0,00;Australia;Pacific Region;"Lawbook Co.";"1984-2020";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
309;15802;"Environmental Law and Management";journal;"10676058";0,121;Q4;7;0;102;0;6;89;0,02;0,00;United Kingdom;Western Europe;"Lawtext Publishing Ltd.";"1993-2018";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
310;10300153374;"WSEAS Transactions on Environment and Development";journal;"17905079, 22243496";0,119;Q4;18;62;128;1465;32;128;0,25;23,63;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2007-2015, 2017-2020";"Development (Q4); Ecological Modeling (Q4); Energy (miscellaneous) (Q4); Environmental Chemistry (Q4); Environmental Engineering (Q4); Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Waste Management and Disposal (Q4)"
311;21100898979;"Environmental Law Review";journal;"17405564, 14614529";0,115;Q4;2;25;18;0;4;15;0,27;0,00;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2019";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
312;21100228743;"Journal of the Bombay Natural History Society";journal;"00066982";0,115;Q4;5;53;46;847;4;23;0,07;15,98;India;Asiatic Region;"Bombay Natural History Society";"1981, 1984, 1990-1993, 2011-2019";"Ecology (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
313;16293;"Journal of Planning and Environment Law";journal;"03074870";0,113;Q4;8;29;107;506;3;89;0,05;17,45;United Kingdom;Western Europe;"Sweet &amp; Maxwell Ltd.";"1970, 1979-1989, 1996-2020";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
314;21100405524;"Legal Aspects of Sustainable Development";book series;"18750923";0,113;Q4;4;0;2;0;0;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2013, 2016-2017";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
315;21100457062;"Studies in Territorial and Cultural Diversity Governance";book series;"22132570";0,113;Q4;2;0;62;0;4;2;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2013, 2015-2018";"Law (Q4); Management, Monitoring, Policy and Law (Q4)"
316;21100902638;"Contemporary Management Research";journal;"18135498";0,112;Q4;1;6;12;337;1;12;0,08;56,17;Taiwan;Asiatic Region;"Academy of Taiwan Information Systems Research";"2018-2020";"Economics and Econometrics (Q4); Management Information Systems (Q4); Management, Monitoring, Policy and Law (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)"
317;21100824458;"Sustentabilidade em Debate";journal;"21777675, 21799067";0,112;Q4;1;10;80;345;9;72;0,13;34,50;Brazil;Latin America;"Universidade de Brasilia";"2017-2019";"Development (Q4); Management, Monitoring, Policy and Law (Q4)"
318;21100881665;"Journal of Land and Development";journal;"23340053, 23340045";0,111;Q4;2;3;16;16;2;13;0,00;5,33;United States;Northern America;"University of Baltimore School of Law";"2012-2019";"Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
319;19900193223;"International Journal of Environmental, Cultural, Economic and Social Sustainability";book series;"18322077";0,110;Q4;5;5;5;306;1;5;0,33;61,20;United States;Northern America;"Common Ground Research Networks";"2011-2020";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4); Sociology and Political Science (Q4)"
320;21100463092;"Proceedings - 8th International Conference on Internet Computing for Science and Engineering, ICICSE 2015";conference and proceedings;"-";0,110;-;3;0;53;0;15;51;0,00;0,00;United States;Northern America;"";"";"Management, Monitoring, Policy and Law; Waste Management and Disposal"
321;8300153115;"Advances in Environmental Accounting and Management";book series;"14793598";0,108;Q4;13;0;14;0;3;6;0,50;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000, 2003, 2006, 2014, 2017-2018";"Accounting (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
322;4000151820;"International Journal of Technology and Globalisation";journal;"14765667, 17418194";0,108;Q4;19;0;3;0;0;3;0,00;0,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2008, 2010-2015, 2017";"Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
323;21100928943;"Journal of Contextual Economics-Schmollers Jahrbuch";journal;"25687603, 2568762X";0,108;Q4;0;0;3;0;0;3;0,00;0,00;Germany;Western Europe;"Duncker und Humblot GmbH";"2018";"Economics, Econometrics and Finance (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4); Social Sciences (miscellaneous) (Q4)"
324;21100405645;"Publications on Ocean Development";book series;"09241922";0,108;Q4;7;0;18;0;4;3;2,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2009, 2011-2017";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
325;27931;"Ymer";journal;"00440477";0,108;Q4;5;10;30;551;2;30;0,09;55,10;Sweden;Western Europe;"University of Stockholm";"1980, 1984-1986, 1988-2000, 2002-2019";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
326;21100901135;"Journal of Sustainable Real Estate";journal;"19498276, 19498284";0,107;Q4;1;0;8;0;1;7;0,14;0,00;United States;Northern America;"American Real Estate Society";"2018";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4); Urban Studies (Q4)"
327;21100407215;"Center for Oceans Law and Policy";book series;"18727158";0,106;Q4;7;0;67;0;5;22;0,14;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2013, 2015-2018";"Law (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
328;21100893284;"Conservacion Colombiana";journal;"19001592";0,106;Q4;1;0;4;0;0;4;0,00;0,00;Colombia;Latin America;"Fundacion ProAves Carrera";"2018";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
329;5200152609;"Water Resources Research Institute News of the University of North Carolina";journal;"0549799X";0,104;Q4;2;0;6;0;0;6;0,00;0,00;United States;Northern America;"Water Resources Research Institute";"1999-2016";"Management, Monitoring, Policy and Law (Q4); Pollution (Q4); Water Science and Technology (Q4)"
330;22699;"Alternatives Journal";trade journal;"12057398";0,102;Q4;7;0;14;0;0;14;0,00;0,00;Canada;Northern America;"University of Waterloo";"1998-2013, 2018";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
331;21100838839;"RevCEDOUA";journal;"08741093, 21822387";0,102;Q4;0;0;15;0;0;15;0,00;0,00;Portugal;Western Europe;"Imprensa da Universidade de Coimbra";"2017-2018";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4); Urban Studies (Q4)"
332;21100826269;"Clean Air and Containment Review";journal;"20423268";0,101;Q4;2;21;42;167;2;30;0,07;7,95;United Kingdom;Western Europe;"Euromed Communications Ltd";"2017-2019";"Ecological Modeling (Q4); Environmental Engineering (Q4); Health, Toxicology and Mutagenesis (Q4); Management, Monitoring, Policy and Law (Q4)"
333;20989;"Environmental Forum";trade journal;"07315732";0,101;Q4;8;140;64;4;1;64;0,03;0,03;United States;Northern America;"Environmental Law Institute";"1997-2020";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)"
334;21100274247;"International Journal of Sustainability Policy and Practice";journal;"23251166, 23251182";0,101;Q4;4;8;23;333;4;23;0,25;41,63;United States;Northern America;"Common Ground Research Networks";"2013-2020";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4); Sociology and Political Science (Q4)"
335;23370;"Journal of Environmental Law and Litigation";journal;"10490280";0,101;Q4;10;11;25;916;0;22;0,00;83,27;United States;Northern America;"University of Oregon";"1996-2019";"Geography, Planning and Development (Q4); Law (Q4); Management, Monitoring, Policy and Law (Q4)"
336;21100891786;"Produccion y Limpia";journal;"23230703, 19090455";0,101;Q4;1;10;26;213;0;24;0,00;21,30;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2018-2019";"Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
337;21100825858;"Relations";journal;"22833196, 22809643";0,101;Q4;1;0;31;0;1;29;0,03;0,00;Italy;Western Europe;"Edizioni Universitarie di Lettere Economia Diritto";"2017-2018";"Ecology (Q4); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4); Philosophy (Q4)"
338;15996;"International Dyer";trade journal;"0020658X";0,100;Q4;11;12;177;56;3;177;0,02;4,67;United Kingdom;Western Europe;"World Textile Information Network";"1989-1992, 1995-2019";"Business and International Management (Q4); Environmental Science (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Polymers and Plastics (Q4)"
339;21100927903;"Atelie Geografico";journal;"19821956";;-;0;41;0;1181;0;0;0,00;28,80;Brazil;Latin America;"Universidade Federal De Goias (UFG)";"2019";"Geography, Planning and Development; Management, Monitoring, Policy and Law; Nature and Landscape Conservation; Tourism, Leisure and Hospitality Management; Urban Studies"
340;21100932526;"Challenges in Sustainability";journal;"22976477";;-;0;3;0;414;0;0;0,00;138,00;Switzerland;Western Europe;"Librello publishing house";"2019";"Ecology; Geography, Planning and Development; Global and Planetary Change; Management, Monitoring, Policy and Law; Nature and Landscape Conservation"
341;21100921070;"Ecological Engineering: X";journal;"25902903";;-;1;11;0;571;0;0;0,00;51,91;Netherlands;Western Europe;"Elsevier BV";"2019-2020";"Environmental Engineering; Management, Monitoring, Policy and Law; Nature and Landscape Conservation"
342;21100930159;"Ekonomia i Srodowisko";journal;"08678898, 23006420";;-;1;30;0;905;0;0;0,00;30,17;Poland;Eastern Europe;"Wydawnictwo Ekonomia i Srodowisko";"2019";"Ecology; Economics and Econometrics; Management, Monitoring, Policy and Law"
343;21100932523;"Future Cities and Environment";journal;"23639075";;-;1;14;0;509;0;0;0,00;36,36;United Kingdom;Western Europe;"Ubiquity Press";"2019-2020";"Architecture; Geography, Planning and Development; Management, Monitoring, Policy and Law; Urban Studies"
344;21100901952;"Journal of Air Transportation";journal;"23809450";;-;1;11;0;293;0;0;0,00;26,64;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"2019";"Aerospace Engineering; Energy (miscellaneous); Management, Monitoring, Policy and Law; Management of Technology and Innovation; Safety Research; Transportation"
345;21100932462;"Journal of Nuclear Fuel Cycle and Waste Technology";journal;"22885471, 17381894";;-;1;42;0;884;0;0;0,00;21,05;South Korea;Asiatic Region;"Korean Radioactive Waste Society";"2019";"Fuel Technology; Management, Monitoring, Policy and Law; Nuclear Energy and Engineering; Renewable Energy, Sustainability and the Environment; Waste Management and Disposal"
346;21100933895;"Resource Recovery and Reuse";book series;"24780510, 24780529";;-;0;2;0;256;0;0;0,00;128,00;Sri Lanka;Asiatic Region;"International Water Management Institute";"2019";"Development; Economics, Econometrics and Finance (miscellaneous); Health, Toxicology and Mutagenesis; Management, Monitoring, Policy and Law; Waste Management and Disposal; Water Science and Technology"
347;21100913566;"Revista de Gestao Ambiental e Sustentabilidade";journal;"23169834";;-;0;29;0;1251;0;0;0,00;43,14;Brazil;Latin America;"Universidade Nove de Julho-UNINOVE";"2019";"Geography, Planning and Development; Management, Monitoring, Policy and Law; Urban Studies"
348;21100935004;"Ri-Vista";journal;"17246768";;-;0;27;0;509;0;0;0,00;18,85;Italy;Western Europe;"Firenze University Press";"2019";"Architecture; Management, Monitoring, Policy and Law; Nature and Landscape Conservation; Renewable Energy, Sustainability and the Environment; Urban Studies"
349;21100913594;"Springer Climate";book series;"23520701, 23520698";;-;5;65;107;1323;39;0;0,00;20,35;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2020";"Atmospheric Science; Global and Planetary Change; Management, Monitoring, Policy and Law"
