Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
63;29411;"Transactions of the American Fisheries Society";journal;"15488659, 00028487";0,748;Q2;83;77;302;4863;466;273;1,59;63,16;United States;Northern America;"John Wiley &amp; Sons Inc.";"1872-1876, 1878-1894, 1896-1908, 1910-1935, 1937-1943, 1945, 1947-1955, 1957-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
64;16728;"Aquatic Botany";journal;"03043770";0,738;Q2;89;77;252;3565;548;250;1,86;46,30;Netherlands;Western Europe;"Elsevier";"1975-2020";"Plant Science (Q1); Aquatic Science (Q2)"
65;21100388419;"Aquaculture Reports";journal;"23525134";0,736;Q2;13;60;135;3137;383;135;2,74;52,28;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q2)"
66;3500148021;"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology";journal;"15314332, 10956433";0,735;Q2;107;188;418;11594;956;412;2,02;61,67;United States;Northern America;"Elsevier Inc.";"1960-1994, 1998-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Molecular Biology (Q3); Physiology (Q3)"
67;13937;"Journal of Paleolimnology";journal;"09212728, 15730417";0,729;Q2;80;56;173;3224;310;169;1,64;57,57;Netherlands;Western Europe;"Springer Netherlands";"1988-2020";"Aquatic Science (Q2); Earth-Surface Processes (Q2)"
68;21100228568;"Maritime Studies";journal;"22129790, 18727859";0,729;Q2;14;35;66;1923;115;60;1,79;54,94;Germany;Western Europe;"Springer Verlag";"2012-2020";"Development (Q1); Geography, Planning and Development (Q1); Water Science and Technology (Q1); Aquatic Science (Q2); Management, Monitoring, Policy and Law (Q2)"
69;9000153111;"Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology";journal;"15320456, 18781659";0,718;Q2;104;157;302;9629;866;298;3,02;61,33;United States;Northern America;"Elsevier Inc.";"1989, 2000-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Health, Toxicology and Mutagenesis (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2); Cell Biology (Q3); Physiology (Q3)"
70;21100218141;"Methods in Oceanography";journal;"22111220";0,716;Q2;16;0;30;0;79;28;0,00;0,00;Netherlands;Western Europe;"Elsevier BV";"2012-2016";"Ocean Engineering (Q1); Aquatic Science (Q2); Oceanography (Q2)"
71;27846;"Marine and Freshwater Research";journal;"13231650";0,708;Q2;84;239;598;14885;1056;573;1,75;62,28;Australia;Pacific Region;"CSIRO";"1948-2020";"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)"
72;29517;"International Review of Hydrobiology";journal;"15222632, 14342944";0,681;Q2;50;14;45;866;90;41;1,52;61,86;Germany;Western Europe;"Wiley-VCH Verlag";"1998-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
